period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2013-2015,63,0.010324,0.010271,88923.7,913.3,20.16,NA,0.006696,0.006673,92730.6,618.8,22.7
2013-2015,64,0.011325,0.011262,88010.4,991.1,19.36,NA,0.007112,0.007087,92111.8,652.8,21.85
2013-2015,65,0.012085,0.012012,87019.3,1045.3,18.57,NA,0.007811,0.007781,91459,711.6,21.01
2013-2015,66,0.012847,0.012765,85974,1097.5,17.79,NA,0.008227,0.008193,90747.4,743.5,20.17
2013-2015,67,0.014146,0.014047,84876.5,1192.2,17.02,NA,0.009269,0.009226,90003.9,830.4,19.33
2013-2015,68,0.015542,0.015423,83684.3,1290.6,16.25,NA,0.010522,0.010467,89173.5,933.4,18.5
2013-2015,69,0.017465,0.017314,82393.6,1426.6,15.5,NA,0.011365,0.011301,88240.1,997.2,17.69
2013-2015,70,0.019225,0.019042,80967.1,1541.8,14.76,NA,0.012747,0.012667,87242.9,1105.1,16.89
2013-2015,71,0.021238,0.021014,79425.3,1669.1,14.04,NA,0.014062,0.013964,86137.8,1202.8,16.1
2013-2015,72,0.024365,0.024072,77756.2,1871.7,13.33,NA,0.015779,0.015655,84935,1329.7,15.32
2013-2015,73,0.02665,0.0263,75884.5,1995.7,12.65,NA,0.018007,0.017846,83605.3,1492,14.56
2013-2015,74,0.030141,0.029694,73888.7,2194,11.98,NA,0.020029,0.019831,82113.3,1628.4,13.81
2013-2015,75,0.032951,0.032417,71694.7,2324.1,11.33,NA,0.022114,0.021872,80484.9,1760.4,13.08
2013-2015,76,0.036509,0.035854,69370.6,2487.2,10.69,NA,0.024744,0.024442,78724.6,1924.2,12.36
2013-2015,77,0.039973,0.03919,66883.4,2621.2,10.07,NA,0.027437,0.027066,76800.4,2078.7,11.66
2013-2015,78,0.04489,0.043904,64262.2,2821.4,9.46,NA,0.030522,0.030063,74721.7,2246.4,10.97
2013-2015,79,0.049803,0.048593,61440.9,2985.6,8.87,NA,0.035186,0.034577,72475.4,2506,10.3
2013-2015,80,0.057226,0.055634,58455.2,3252.1,8.3,NA,0.040637,0.039827,69969.4,2786.7,9.65
2013-2015,81,0.063684,0.061719,55203.1,3407.1,7.76,NA,0.046024,0.044989,67182.7,3022.5,9.03
