period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2017-2019,0,0.004323,0.004314,100000,431.4,79.61,NA,0.00357,0.003564,100000,356.4,83.27
2017-2019,1,2.43e-4,2.43e-4,99568.6,24.2,78.95,NA,2.16e-4,2.16e-4,99643.6,21.6,82.57
2017-2019,2,1.32e-4,1.32e-4,99544.4,13.2,77.97,NA,1.27e-4,1.27e-4,99622,12.6,81.59
2017-2019,3,1.04e-4,1.04e-4,99531.2,10.4,76.98,NA,9.7e-5,9.7e-5,99609.4,9.7,80.6
2017-2019,4,9.4e-5,9.4e-5,99520.9,9.4,75.99,NA,7e-5,7e-5,99599.7,6.9,79.61
2017-2019,5,8.7e-5,8.7e-5,99511.5,8.6,75,NA,8.7e-5,8.7e-5,99592.8,8.6,78.61
2017-2019,6,8.8e-5,8.8e-5,99502.9,8.7,74,NA,7.7e-5,7.7e-5,99584.2,7.7,77.62
2017-2019,7,7.1e-5,7.1e-5,99494.1,7.1,73.01,NA,6.3e-5,6.3e-5,99576.5,6.3,76.63
2017-2019,8,6.6e-5,6.6e-5,99487,6.5,72.01,NA,6.3e-5,6.3e-5,99570.2,6.3,75.63
2017-2019,9,6.2e-5,6.2e-5,99480.5,6.1,71.02,NA,5.5e-5,5.5e-5,99563.9,5.5,74.64
2017-2019,10,7.5e-5,7.5e-5,99474.4,7.5,70.02,NA,6.4e-5,6.4e-5,99558.4,6.3,73.64
2017-2019,11,8.3e-5,8.3e-5,99466.9,8.3,69.03,NA,6.1e-5,6.1e-5,99552.1,6,72.64
2017-2019,12,1.08e-4,1.08e-4,99458.7,10.7,68.03,NA,5.7e-5,5.7e-5,99546,5.6,71.65
2017-2019,13,1.26e-4,1.26e-4,99447.9,12.6,67.04,NA,7.9e-5,7.9e-5,99540.4,7.9,70.65
2017-2019,14,1.16e-4,1.16e-4,99435.4,11.5,66.05,NA,9.4e-5,9.4e-5,99532.5,9.4,69.66
2017-2019,15,1.72e-4,1.72e-4,99423.9,17.1,65.06,NA,1.04e-4,1.04e-4,99523.1,10.3,68.66
2017-2019,16,2.17e-4,2.16e-4,99406.8,21.5,64.07,NA,1.42e-4,1.42e-4,99512.7,14.2,67.67
2017-2019,17,3.02e-4,3.02e-4,99385.3,30.1,63.08,NA,1.53e-4,1.53e-4,99498.6,15.2,66.68
2017-2019,18,3.87e-4,3.87e-4,99355.2,38.4,62.1,NA,2.15e-4,2.15e-4,99483.4,21.4,65.69
2017-2019,19,4.26e-4,4.26e-4,99316.8,42.3,61.12,NA,2.02e-4,2.02e-4,99462,20.1,64.71
2017-2019,20,5.01e-4,5.01e-4,99274.5,49.7,60.15,NA,1.79e-4,1.79e-4,99441.9,17.8,63.72
2017-2019,21,4.98e-4,4.98e-4,99224.8,49.4,59.18,NA,2.06e-4,2.06e-4,99424.1,20.5,62.73
2017-2019,22,4.82e-4,4.82e-4,99175.4,47.8,58.21,NA,2.22e-4,2.22e-4,99403.6,22.1,61.74
2017-2019,23,4.71e-4,4.71e-4,99127.6,46.7,57.24,NA,2e-4,2e-4,99381.5,19.9,60.76
2017-2019,24,5.14e-4,5.14e-4,99081,50.9,56.26,NA,2.19e-4,2.19e-4,99361.6,21.7,59.77
2017-2019,25,5.45e-4,5.45e-4,99030.1,53.9,55.29,NA,2.52e-4,2.52e-4,99339.9,25,58.78
2017-2019,26,5.5e-4,5.5e-4,98976.1,54.4,54.32,NA,2.58e-4,2.58e-4,99314.9,25.6,57.8
2017-2019,27,5.88e-4,5.88e-4,98921.7,58.1,53.35,NA,2.8e-4,2.8e-4,99289.2,27.8,56.81
2017-2019,28,6.47e-4,6.47e-4,98863.6,63.9,52.38,NA,3.07e-4,3.07e-4,99261.4,30.5,55.83
2017-2019,29,6.78e-4,6.78e-4,98799.6,67,51.42,NA,3.01e-4,3.01e-4,99230.9,29.9,54.84
2017-2019,30,7.2e-4,7.19e-4,98732.6,71,50.45,NA,3.6e-4,3.59e-4,99201,35.7,53.86
2017-2019,31,7.88e-4,7.88e-4,98661.6,77.7,49.49,NA,3.81e-4,3.81e-4,99165.4,37.8,52.88
2017-2019,32,7.69e-4,7.68e-4,98583.9,75.7,48.53,NA,4.33e-4,4.32e-4,99127.6,42.9,51.9
2017-2019,33,8.78e-4,8.78e-4,98508.1,86.5,47.56,NA,4.62e-4,4.62e-4,99084.7,45.8,50.92
2017-2019,34,8.94e-4,8.94e-4,98421.7,88,46.6,NA,5.37e-4,5.37e-4,99038.9,53.1,49.94
2017-2019,35,9.94e-4,9.94e-4,98333.7,97.7,45.64,NA,5.56e-4,5.56e-4,98985.8,55,48.97
2017-2019,36,0.001064,0.001064,98236,104.5,44.69,NA,5.93e-4,5.93e-4,98930.7,58.6,48
2017-2019,37,0.00123,0.001229,98131.5,120.6,43.74,NA,7.49e-4,7.49e-4,98872.1,74,47.03
2017-2019,38,0.001185,0.001185,98010.9,116.1,42.79,NA,7.1e-4,7.09e-4,98798.1,70.1,46.06
2017-2019,39,0.00131,0.001309,97894.7,128.2,41.84,NA,7.83e-4,7.82e-4,98728,77.3,45.09
2017-2019,40,0.001456,0.001455,97766.6,142.3,40.89,NA,8.47e-4,8.46e-4,98650.7,83.5,44.13
2017-2019,41,0.001552,0.00155,97624.3,151.4,39.95,NA,9.29e-4,9.29e-4,98567.2,91.5,43.17
2017-2019,42,0.0017,0.001699,97473,165.6,39.01,NA,0.001026,0.001025,98475.7,100.9,42.21
2017-2019,43,0.001882,0.00188,97307.4,183,38.08,NA,0.001114,0.001113,98374.8,109.5,41.25
2017-2019,44,0.001975,0.001973,97124.4,191.7,37.15,NA,0.001272,0.001271,98265.3,124.9,40.29
2017-2019,45,0.002247,0.002245,96932.8,217.6,36.22,NA,0.001383,0.001382,98140.4,135.6,39.34
2017-2019,46,0.002347,0.002344,96715.2,226.7,35.3,NA,0.001522,0.00152,98004.7,149,38.4
2017-2019,47,0.002592,0.002589,96488.5,249.8,34.39,NA,0.001629,0.001628,97855.7,159.3,37.46
2017-2019,48,0.002724,0.002721,96238.7,261.8,33.47,NA,0.001787,0.001786,97696.4,174.4,36.52
2017-2019,49,0.003078,0.003074,95976.9,295,32.56,NA,0.001911,0.001909,97522,186.2,35.58
2017-2019,50,0.003263,0.003257,95681.9,311.7,31.66,NA,0.002101,0.002099,97335.8,204.3,34.65
2017-2019,51,0.003523,0.003517,95370.2,335.4,30.76,NA,0.002292,0.00229,97131.5,222.4,33.72
2017-2019,52,0.003781,0.003774,95034.8,358.7,29.87,NA,0.002484,0.002481,96909.1,240.5,32.8
2017-2019,53,0.004033,0.004025,94676.1,381.1,28.98,NA,0.002604,0.002601,96668.6,251.4,31.88
2017-2019,54,0.004361,0.004352,94295,410.3,28.1,NA,0.002805,0.002801,96417.2,270.1,30.96
2017-2019,55,0.004693,0.004682,93884.7,439.6,27.22,NA,0.003121,0.003116,96147.2,299.6,30.04
2017-2019,56,0.005277,0.005263,93445.1,491.8,26.34,NA,0.00342,0.003414,95847.5,327.2,29.14
2017-2019,57,0.005757,0.00574,92953.3,533.6,25.48,NA,0.003712,0.003706,95520.3,354,28.23
2017-2019,58,0.006267,0.006247,92419.7,577.4,24.62,NA,0.00413,0.004121,95166.4,392.2,27.34
2017-2019,59,0.006781,0.006758,91842.4,620.7,23.78,NA,0.004455,0.004445,94774.2,421.3,26.45
2017-2019,60,0.007468,0.007441,91221.7,678.7,22.93,NA,0.004918,0.004906,94352.9,462.9,25.56
2017-2019,61,0.008116,0.008083,90542.9,731.8,22.1,NA,0.005335,0.005321,93890,499.5,24.69
2017-2019,62,0.00905,0.00901,89811.1,809.2,21.28,NA,0.006124,0.006105,93390.4,570.2,23.82
2017-2019,63,0.010018,0.009968,89001.9,887.1,20.47,NA,0.006546,0.006525,92820.2,605.6,22.96
2017-2019,64,0.010803,0.010745,88114.8,946.8,19.67,NA,0.007094,0.007069,92214.6,651.9,22.11
2017-2019,65,0.011882,0.011812,87168,1029.6,18.88,NA,0.007782,0.007752,91562.8,709.8,21.26
2017-2019,66,0.01312,0.013034,86138.4,1122.8,18.1,NA,0.008358,0.008323,90853,756.1,20.42
2017-2019,67,0.014251,0.01415,85015.7,1203,17.33,NA,0.00916,0.009118,90096.8,821.5,19.59
2017-2019,68,0.015566,0.015446,83812.7,1294.5,16.57,NA,0.010135,0.010084,89275.3,900.3,18.77
2017-2019,69,0.017107,0.016962,82518.2,1399.6,15.82,NA,0.011039,0.010978,88375.1,970.2,17.95
2017-2019,70,0.018127,0.017964,81118.5,1457.2,15.09,NA,0.012173,0.012099,87404.9,1057.5,17.15
2017-2019,71,0.020132,0.019931,79661.3,1587.7,14.35,NA,0.013054,0.01297,86347.3,1119.9,16.35
2017-2019,72,0.02209,0.021848,78073.6,1705.8,13.64,NA,0.014972,0.014861,85227.4,1266.6,15.56
2017-2019,73,0.025388,0.025069,76367.8,1914.5,12.93,NA,0.01712,0.016974,83960.9,1425.2,14.79
2017-2019,74,0.02788,0.027497,74453.3,2047.2,12.25,NA,0.018839,0.018663,82535.7,1540.3,14.03
2017-2019,75,0.03112,0.030643,72406.1,2218.7,11.58,NA,0.021003,0.020785,80995.3,1683.5,13.29
2017-2019,76,0.035074,0.034469,70187.4,2419.3,10.93,NA,0.023796,0.023516,79311.9,1865.1,12.56
2017-2019,77,0.038772,0.038035,67768.1,2577.6,10.3,NA,0.02697,0.026611,77446.8,2060.9,11.85
2017-2019,78,0.04372,0.042784,65190.5,2789.1,9.69,NA,0.030627,0.030165,75385.8,2274,11.16
2017-2019,79,0.048297,0.047158,62401.4,2942.7,9.1,NA,0.034399,0.033817,73111.8,2472.4,10.49
2017-2019,80,0.054547,0.053099,59458.7,3157.2,8.53,NA,0.038518,0.03779,70639.4,2669.5,9.84
2017-2019,81,0.060965,0.059162,56301.5,3330.9,7.98,NA,0.043505,0.042579,67969.9,2894.1,9.21
2017-2019,82,0.067686,0.06547,52970.6,3468,7.45,NA,0.049143,0.047964,65075.8,3121.3,8.6
2017-2019,83,0.076791,0.073952,49502.6,3660.8,6.93,NA,0.057046,0.055464,61954.5,3436.2,8.01
2017-2019,84,0.08755,0.083879,45841.8,3845.1,6.45,NA,0.064915,0.062874,58518.3,3679.3,7.45
2017-2019,85,0.098202,0.093606,41996.6,3931.1,5.99,NA,0.074237,0.07158,54839,3925.4,6.91
2017-2019,86,0.111716,0.105806,38065.5,4027.5,5.56,NA,0.085298,0.081809,50913.6,4165.2,6.41
2017-2019,87,0.124991,0.117639,34038,4004.2,5.16,NA,0.096713,0.092252,46748.4,4312.6,5.93
2017-2019,88,0.141552,0.132196,30033.8,3970.3,4.78,NA,0.110911,0.105084,42435.8,4459.3,5.48
2017-2019,89,0.160341,0.14844,26063.4,3868.9,4.43,NA,0.124937,0.117591,37976.5,4465.7,5.07
2017-2019,90,0.171925,0.158315,22194.6,3513.7,4.12,NA,0.142567,0.133081,33510.8,4459.6,4.68
2017-2019,91,0.195698,0.178256,18680.8,3330,3.8,NA,0.16122,0.149194,29051.1,4334.2,4.32
2017-2019,92,0.216904,0.195682,15350.9,3003.9,3.51,NA,0.180677,0.165708,24716.9,4095.8,3.99
2017-2019,93,0.240636,0.214793,12347,2652,3.25,NA,0.201668,0.183195,20621.1,3777.7,3.68
2017-2019,94,0.269541,0.237529,9694.9,2302.8,3,NA,0.225901,0.202975,16843.4,3418.8,3.4
2017-2019,95,0.299141,0.26022,7392.1,1923.6,2.78,NA,0.255829,0.226816,13424.6,3044.9,3.14
2017-2019,96,0.336833,0.288282,5468.5,1576.5,2.58,NA,0.286212,0.250381,10379.7,2598.9,2.91
2017-2019,97,0.35688,0.302841,3892,1178.7,2.42,NA,0.306209,0.265552,7780.8,2066.2,2.71
2017-2019,98,0.386434,0.323859,2713.4,878.8,2.26,NA,0.339102,0.289942,5714.6,1656.9,2.51
2017-2019,99,0.454752,0.370508,1834.6,679.7,2.1,NA,0.365844,0.309271,4057.7,1254.9,2.34
2017-2019,100,0.475363,0.384076,1154.9,443.6,2.04,NA,0.413554,0.342693,2802.8,960.5,2.16
2016-2018,0,0.004277,0.004268,100000,426.8,79.48,NA,0.003558,0.003551,100000,355.1,83.13
2016-2018,1,2.58e-4,2.58e-4,99573.2,25.7,78.82,NA,2.28e-4,2.28e-4,99644.9,22.7,82.43
2016-2018,2,1.31e-4,1.31e-4,99547.5,13,77.84,NA,1.3e-4,1.3e-4,99622.1,12.9,81.45
2016-2018,3,1.19e-4,1.19e-4,99534.5,11.8,76.85,NA,9.6e-5,9.6e-5,99609.2,9.5,80.46
2016-2018,4,9.6e-5,9.6e-5,99522.6,9.6,75.86,NA,7.5e-5,7.5e-5,99599.7,7.5,79.47
2016-2018,5,9.5e-5,9.5e-5,99513,9.5,74.87,NA,7.6e-5,7.6e-5,99592.2,7.6,78.47
2016-2018,6,7.3e-5,7.3e-5,99503.6,7.3,73.88,NA,7.1e-5,7.1e-5,99584.6,7,77.48
2016-2018,7,7.7e-5,7.7e-5,99496.3,7.7,72.88,NA,6.3e-5,6.3e-5,99577.6,6.3,76.48
2016-2018,8,6.8e-5,6.8e-5,99488.6,6.8,71.89,NA,5.8e-5,5.8e-5,99571.3,5.8,75.49
2016-2018,9,7e-5,7e-5,99481.8,6.9,70.89,NA,6.3e-5,6.3e-5,99565.5,6.3,74.49
2016-2018,10,7.5e-5,7.5e-5,99474.8,7.4,69.9,NA,5.9e-5,5.9e-5,99559.2,5.9,73.5
2016-2018,11,8.6e-5,8.6e-5,99467.4,8.6,68.9,NA,7.3e-5,7.3e-5,99553.3,7.3,72.5
2016-2018,12,1.02e-4,1.02e-4,99458.8,10.2,67.91,NA,6.8e-5,6.8e-5,99546.1,6.7,71.51
2016-2018,13,1.07e-4,1.07e-4,99448.6,10.7,66.92,NA,7.3e-5,7.3e-5,99539.3,7.2,70.51
2016-2018,14,1.28e-4,1.28e-4,99438,12.7,65.92,NA,9.4e-5,9.4e-5,99532.1,9.3,69.52
2016-2018,15,1.79e-4,1.79e-4,99425.2,17.8,64.93,NA,1.11e-4,1.11e-4,99522.8,11,68.52
2016-2018,16,2.2e-4,2.2e-4,99407.4,21.9,63.94,NA,1.46e-4,1.46e-4,99511.8,14.5,67.53
2016-2018,17,3.1e-4,3.1e-4,99385.5,30.8,62.96,NA,1.47e-4,1.47e-4,99497.3,14.7,66.54
2016-2018,18,3.93e-4,3.93e-4,99354.7,39.1,61.98,NA,2.07e-4,2.07e-4,99482.6,20.6,65.55
2016-2018,19,4.21e-4,4.21e-4,99315.7,41.8,61,NA,1.95e-4,1.95e-4,99462,19.4,64.56
2016-2018,20,4.78e-4,4.78e-4,99273.9,47.5,60.03,NA,1.9e-4,1.9e-4,99442.5,18.9,63.58
2016-2018,21,4.87e-4,4.87e-4,99226.4,48.3,59.05,NA,2.19e-4,2.19e-4,99423.6,21.8,62.59
2016-2018,22,4.82e-4,4.82e-4,99178.2,47.8,58.08,NA,2.11e-4,2.11e-4,99401.8,21,61.6
2016-2018,23,4.93e-4,4.93e-4,99130.3,48.8,57.11,NA,1.96e-4,1.96e-4,99380.9,19.5,60.61
2016-2018,24,5.19e-4,5.18e-4,99081.5,51.4,56.14,NA,2.16e-4,2.16e-4,99361.4,21.4,59.63
2016-2018,25,5.53e-4,5.53e-4,99030.2,54.8,55.17,NA,2.58e-4,2.58e-4,99340,25.7,58.64
2016-2018,26,5.62e-4,5.61e-4,98975.4,55.6,54.2,NA,2.47e-4,2.47e-4,99314.3,24.5,57.65
2016-2018,27,5.73e-4,5.73e-4,98919.8,56.7,53.23,NA,2.76e-4,2.76e-4,99289.8,27.4,56.67
2016-2018,28,6.44e-4,6.44e-4,98863.1,63.7,52.26,NA,3.19e-4,3.19e-4,99262.3,31.7,55.68
2016-2018,29,6.73e-4,6.72e-4,98799.4,66.4,51.29,NA,3.01e-4,3.01e-4,99230.7,29.9,54.7
2016-2018,30,7.07e-4,7.07e-4,98733,69.8,50.33,NA,3.66e-4,3.66e-4,99200.8,36.3,53.72
2016-2018,31,7.83e-4,7.83e-4,98663.2,77.2,49.36,NA,3.74e-4,3.74e-4,99164.4,37.1,52.74
2016-2018,32,7.91e-4,7.91e-4,98586,78,48.4,NA,4.6e-4,4.6e-4,99127.3,45.6,51.76
2016-2018,33,8.7e-4,8.7e-4,98508,85.7,47.44,NA,4.73e-4,4.73e-4,99081.7,46.9,50.78
2016-2018,34,9.1e-4,9.1e-4,98422.3,89.5,46.48,NA,5.34e-4,5.34e-4,99034.8,52.9,49.8
2016-2018,35,9.89e-4,9.88e-4,98332.8,97.2,45.52,NA,5.53e-4,5.53e-4,98982,54.7,48.83
2016-2018,36,0.001098,0.001098,98235.7,107.8,44.56,NA,6.08e-4,6.08e-4,98927.3,60.1,47.86
2016-2018,37,0.001168,0.001167,98127.8,114.6,43.61,NA,7.09e-4,7.09e-4,98867.2,70.1,46.89
2016-2018,38,0.001169,0.001168,98013.3,114.5,42.66,NA,7.05e-4,7.04e-4,98797.1,69.6,45.92
2016-2018,39,0.001309,0.001308,97898.8,128.1,41.71,NA,7.81e-4,7.81e-4,98727.5,77.1,44.95
2016-2018,40,0.001435,0.001434,97770.7,140.2,40.77,NA,8.32e-4,8.31e-4,98650.4,82,43.99
2016-2018,41,0.001617,0.001616,97630.5,157.7,39.82,NA,9.49e-4,9.49e-4,98568.4,93.5,43.02
2016-2018,42,0.00173,0.001729,97472.8,168.5,38.89,NA,0.001013,0.001013,98474.9,99.7,42.06
2016-2018,43,0.001979,0.001977,97304.2,192.3,37.95,NA,0.00113,0.00113,98375.2,111.1,41.1
2016-2018,44,0.00204,0.002038,97111.9,197.9,37.03,NA,0.001287,0.001286,98264,126.4,40.15
2016-2018,45,0.002175,0.002172,96914,210.5,36.1,NA,0.001388,0.001387,98137.7,136.1,39.2
2016-2018,46,0.002327,0.002324,96703.4,224.8,35.18,NA,0.001497,0.001496,98001.5,146.6,38.25
2016-2018,47,0.002631,0.002627,96478.7,253.5,34.26,NA,0.001643,0.001642,97854.9,160.7,37.31
2016-2018,48,0.002757,0.002753,96225.2,265,33.35,NA,0.001782,0.00178,97694.3,173.9,36.37
2016-2018,49,0.003054,0.00305,95960.3,292.6,32.44,NA,0.001895,0.001893,97520.4,184.6,35.44
2016-2018,50,0.003243,0.003238,95667.6,309.7,31.54,NA,0.002065,0.002063,97335.8,200.8,34.5
2016-2018,51,0.003466,0.00346,95357.9,329.9,30.64,NA,0.002299,0.002296,97135,223.1,33.57
2016-2018,52,0.003776,0.003768,95027.9,358.1,29.74,NA,0.0025,0.002497,96911.9,241.9,32.65
2016-2018,53,0.003988,0.00398,94669.8,376.8,28.85,NA,0.002682,0.002678,96670,258.9,31.73
2016-2018,54,0.004294,0.004285,94293,404,27.97,NA,0.00286,0.002856,96411,275.4,30.81
2016-2018,55,0.004798,0.004786,93889,449.4,27.09,NA,0.00318,0.003175,96135.7,305.3,29.9
2016-2018,56,0.005235,0.005221,93439.6,487.9,26.21,NA,0.003518,0.003512,95830.4,336.5,28.99
2016-2018,57,0.005741,0.005725,92951.8,532.1,25.35,NA,0.003801,0.003794,95493.9,362.3,28.09
2016-2018,58,0.006299,0.006279,92419.6,580.3,24.49,NA,0.004233,0.004224,95131.6,401.8,27.2
2016-2018,59,0.006837,0.006814,91839.3,625.8,23.64,NA,0.004614,0.004604,94729.8,436.1,26.31
2016-2018,60,0.00761,0.007581,91213.5,691.5,22.8,NA,0.004986,0.004974,94293.6,469,25.43
2016-2018,61,0.008348,0.008313,90522,752.5,21.97,NA,0.005475,0.00546,93824.6,512.3,24.56
2016-2018,62,0.009131,0.00909,89769.5,816,21.15,NA,0.006177,0.006158,93312.3,574.6,23.69
2016-2018,63,0.010244,0.010191,88953.5,906.6,20.34,NA,0.006637,0.006615,92737.7,613.5,22.83
2016-2018,64,0.010998,0.010938,88047,963,19.55,NA,0.007191,0.007165,92124.2,660.1,21.98
2016-2018,65,0.012033,0.011961,87083.9,1041.6,18.76,NA,0.00781,0.00778,91464.1,711.6,21.14
2016-2018,66,0.013318,0.01323,86042.3,1138.3,17.98,NA,0.008663,0.008626,90752.5,782.8,20.3
2016-2018,67,0.01428,0.014179,84903.9,1203.9,17.21,NA,0.00932,0.009277,89969.7,834.6,19.47
2016-2018,68,0.015682,0.01556,83700.1,1302.4,16.45,NA,0.010208,0.010156,89135.1,905.3,18.65
